"tenure","monthlycharges","churn","churn_risk"
15,"59.65","No","Moderate Risk"
15,"58.95","No","Moderate Risk"
14,"86","No","Moderate Risk"
14,"84.8","No","Moderate Risk"
14,"82.65","No","Moderate Risk"
14,"81.95","No","Moderate Risk"
14,"80.9","No","Moderate Risk"
14,"80.45","No","Moderate Risk"
14,"80.35","No","Moderate Risk"
14,"80.05","No","Moderate Risk"
14,"78.85","No","Moderate Risk"
14,"78.1","No","Moderate Risk"
14,"76.45","No","Moderate Risk"
14,"76.1","No","Moderate Risk"
14,"75.1","No","Moderate Risk"
14,"70.2","No","Moderate Risk"
14,"69.65","No","Moderate Risk"
14,"69.2","No","Moderate Risk"
14,"66.6","No","Moderate Risk"
14,"61.4","No","Moderate Risk"
14,"59.8","No","Moderate Risk"
14,"59.45","No","Moderate Risk"
14,"59.1","No","Moderate Risk"
13,"88.95","No","Moderate Risk"
13,"85.95","No","Moderate Risk"
13,"81.9","No","Moderate Risk"
13,"80.5","No","Moderate Risk"
13,"80","No","Moderate Risk"
13,"78.75","No","Moderate Risk"
13,"78.3","No","Moderate Risk"
13,"76.2","No","Moderate Risk"
13,"74.65","No","Moderate Risk"
13,"73.75","No","Moderate Risk"
13,"73.35","No","Moderate Risk"
13,"72.8","No","Moderate Risk"
13,"71.95","No","Moderate Risk"
13,"70.45","No","Moderate Risk"
13,"70.15","No","Moderate Risk"
13,"70.15","No","Moderate Risk"
13,"67.8","No","Moderate Risk"
13,"66.4","No","Moderate Risk"
13,"65.85","No","Moderate Risk"
13,"64.75","No","Moderate Risk"
13,"63.15","No","Moderate Risk"
13,"61.8","No","Moderate Risk"
13,"59.9","No","Moderate Risk"
12,"86.55","No","Moderate Risk"
12,"85.15","No","Moderate Risk"
12,"85.05","No","Moderate Risk"
12,"84.6","No","Moderate Risk"
12,"84.6","No","Moderate Risk"
12,"84.05","No","Moderate Risk"
12,"81.45","No","Moderate Risk"
12,"79.95","No","Moderate Risk"
12,"79.8","No","Moderate Risk"
12,"79.55","No","Moderate Risk"
12,"79.2","No","Moderate Risk"
12,"78.85","No","Moderate Risk"
12,"76.6","No","Moderate Risk"
12,"75.85","No","Moderate Risk"
12,"74.75","No","Moderate Risk"
12,"74.15","No","Moderate Risk"
12,"73.3","No","Moderate Risk"
12,"69.85","No","Moderate Risk"
12,"67.25","No","Moderate Risk"
12,"60.65","No","Moderate Risk"
12,"58.35","No","Moderate Risk"
11,"86.2","No","Moderate Risk"
11,"84.8","No","Moderate Risk"
11,"82.9","No","Moderate Risk"
11,"79.5","No","Moderate Risk"
11,"79.15","No","Moderate Risk"
11,"79","No","Moderate Risk"
11,"78.5","No","Moderate Risk"
11,"78.1","No","Moderate Risk"
11,"78","No","Moderate Risk"
11,"76.4","No","Moderate Risk"
11,"75.9","No","Moderate Risk"
11,"75.25","No","Moderate Risk"
11,"75.2","No","Moderate Risk"
11,"72.9","No","Moderate Risk"
11,"70.5","No","Moderate Risk"
11,"70.2","No","Moderate Risk"
11,"70.2","No","Moderate Risk"
11,"69.35","No","Moderate Risk"
11,"65.15","No","Moderate Risk"
11,"64.9","No","Moderate Risk"
11,"64.9","No","Moderate Risk"
11,"64.05","No","Moderate Risk"
11,"61.25","No","Moderate Risk"
11,"60.9","No","Moderate Risk"
11,"60.25","No","Moderate Risk"
11,"59.65","No","Moderate Risk"
11,"58.95","No","Moderate Risk"
10,"70.3","No","Moderate Risk"
10,"70.15","No","Moderate Risk"
10,"67.8","No","Moderate Risk"
10,"65.9","No","Moderate Risk"
10,"65.5","No","Moderate Risk"
10,"64.9","No","Moderate Risk"
10,"62.25","No","Moderate Risk"
10,"60.95","No","Moderate Risk"
10,"60.2","No","Moderate Risk"
10,"59.65","No","Moderate Risk"
9,"70.5","No","Moderate Risk"
9,"70.05","No","Moderate Risk"
9,"70.05","No","Moderate Risk"
9,"69.5","No","Moderate Risk"
9,"69.4","No","Moderate Risk"
9,"69.05","No","Moderate Risk"
9,"69.05","No","Moderate Risk"
9,"68.95","No","Moderate Risk"
9,"68.25","No","Moderate Risk"
9,"65.6","No","Moderate Risk"
9,"64.95","No","Moderate Risk"
9,"59.9","No","Moderate Risk"
9,"59.5","No","Moderate Risk"
8,"70.7","No","Moderate Risk"
8,"69.95","No","Moderate Risk"
8,"69.7","No","Moderate Risk"
8,"68.55","No","Moderate Risk"
8,"66.7","No","Moderate Risk"
8,"66.65","No","Moderate Risk"
8,"66.25","No","Moderate Risk"
8,"66.05","No","Moderate Risk"
8,"65.5","No","Moderate Risk"
8,"65.5","No","Moderate Risk"
8,"65.45","No","Moderate Risk"
8,"64.4","No","Moderate Risk"
8,"64.1","No","Moderate Risk"
8,"60.9","No","Moderate Risk"
8,"60","No","Moderate Risk"
8,"59.25","No","Moderate Risk"
8,"58.2","No","Moderate Risk"
7,"69.9","No","Moderate Risk"
7,"69.85","No","Moderate Risk"
7,"69.7","No","Moderate Risk"
7,"69.55","No","Moderate Risk"
7,"69.45","No","Moderate Risk"
7,"69.2","No","Moderate Risk"
7,"69.15","No","Moderate Risk"
7,"66.85","No","Moderate Risk"
7,"64.95","No","Moderate Risk"
7,"64.3","No","Moderate Risk"
7,"64.2","No","Moderate Risk"
7,"62.8","No","Moderate Risk"
7,"61.4","No","Moderate Risk"
7,"59.1","No","Moderate Risk"
7,"58.85","No","Moderate Risk"
6,"70.55","No","Moderate Risk"
6,"69.8","No","Moderate Risk"
6,"69.1","No","Moderate Risk"
6,"63.4","No","Moderate Risk"
6,"60.9","No","Moderate Risk"
6,"59.45","No","Moderate Risk"
6,"59.15","No","Moderate Risk"
5,"70.05","No","Moderate Risk"
5,"69.95","No","Moderate Risk"
5,"69.35","No","Moderate Risk"
5,"68.95","No","Moderate Risk"
5,"65.6","No","Moderate Risk"
5,"64.4","No","Moderate Risk"
5,"64.35","No","Moderate Risk"
5,"64","No","Moderate Risk"
5,"63.95","No","Moderate Risk"
5,"59.9","No","Moderate Risk"
4,"70.65","No","Moderate Risk"
4,"70.5","No","Moderate Risk"
4,"70.2","No","Moderate Risk"
4,"69.55","No","Moderate Risk"
4,"69.35","No","Moderate Risk"
4,"65.6","No","Moderate Risk"
4,"65.55","No","Moderate Risk"
4,"64.4","No","Moderate Risk"
4,"63.75","No","Moderate Risk"
4,"61.3","No","Moderate Risk"
4,"58.5","No","Moderate Risk"
3,"70.7","No","Moderate Risk"
3,"70.3","No","Moderate Risk"
3,"70.25","No","Moderate Risk"
3,"70.15","No","Moderate Risk"
3,"69.95","No","Moderate Risk"
3,"69.85","No","Moderate Risk"
3,"69.6","No","Moderate Risk"
3,"69.55","No","Moderate Risk"
3,"69.15","No","Moderate Risk"
3,"65.25","No","Moderate Risk"
3,"64.6","No","Moderate Risk"
3,"64.5","No","Moderate Risk"
3,"64.4","No","Moderate Risk"
3,"60.65","No","Moderate Risk"
3,"60.25","No","Moderate Risk"
3,"58.7","No","Moderate Risk"
2,"70.7","No","Moderate Risk"
2,"70.4","No","Moderate Risk"
2,"70.35","No","Moderate Risk"
2,"70.35","No","Moderate Risk"
2,"70.3","No","Moderate Risk"
2,"70.3","No","Moderate Risk"
2,"70.15","No","Moderate Risk"
2,"70.1","No","Moderate Risk"
2,"69.95","No","Moderate Risk"
2,"69.8","No","Moderate Risk"
2,"69.7","No","Moderate Risk"
2,"69.3","No","Moderate Risk"
2,"69","No","Moderate Risk"
2,"64.2","No","Moderate Risk"
2,"62.15","No","Moderate Risk"
2,"61.2","No","Moderate Risk"
2,"60.95","No","Moderate Risk"
2,"60.85","No","Moderate Risk"
2,"59.5","No","Moderate Risk"
2,"59","No","Moderate Risk"
1,"70.7","No","Moderate Risk"
1,"70.6","No","Moderate Risk"
1,"70.6","No","Moderate Risk"
1,"70.45","No","Moderate Risk"
1,"70.35","No","Moderate Risk"
1,"70.25","No","Moderate Risk"
1,"70.2","No","Moderate Risk"
1,"70.1","No","Moderate Risk"
1,"70.05","No","Moderate Risk"
1,"69.95","No","Moderate Risk"
1,"69.9","No","Moderate Risk"
1,"62.8","No","Moderate Risk"
1,"61.15","No","Moderate Risk"
1,"59.55","No","Moderate Risk"
0,"61.9","No","Moderate Risk"
72,"118.75","No","Low Risk"
72,"118.2","No","Low Risk"
72,"117.6","No","Low Risk"
72,"117.5","No","Low Risk"
72,"117.35","No","Low Risk"
72,"117.15","No","Low Risk"
72,"116.95","No","Low Risk"
72,"116.85","No","Low Risk"
72,"116.8","No","Low Risk"
72,"116.75","No","Low Risk"
72,"116.6","No","Low Risk"
72,"116.45","No","Low Risk"
72,"116.4","No","Low Risk"
72,"116.05","No","Low Risk"
72,"115.8","No","Low Risk"
72,"115.8","No","Low Risk"
72,"115.8","No","Low Risk"
72,"115.75","No","Low Risk"
72,"115.75","No","Low Risk"
72,"115.6","No","Low Risk"
72,"115.55","No","Low Risk"
72,"115.55","No","Low Risk"
72,"115.5","No","Low Risk"
72,"115.5","No","Low Risk"
72,"115.15","No","Low Risk"
72,"115.15","No","Low Risk"
72,"115.05","No","Low Risk"
72,"114.95","No","Low Risk"
72,"114.9","No","Low Risk"
72,"114.85","No","Low Risk"
72,"114.65","No","Low Risk"
72,"114.55","No","Low Risk"
72,"114.5","No","Low Risk"
72,"114.45","No","Low Risk"
72,"114.45","No","Low Risk"
72,"114.3","No","Low Risk"
72,"114.1","No","Low Risk"
72,"114.05","No","Low Risk"
72,"114.05","No","Low Risk"
72,"114","No","Low Risk"
72,"113.8","No","Low Risk"
72,"113.65","No","Low Risk"
72,"113.65","No","Low Risk"
72,"113.4","No","Low Risk"
72,"113.1","No","Low Risk"
72,"112.9","No","Low Risk"
72,"112.75","No","Low Risk"
72,"112.6","No","Low Risk"
72,"112.4","No","Low Risk"
72,"112.25","No","Low Risk"
72,"112.1","No","Low Risk"
72,"111.95","No","Low Risk"
72,"111.9","No","Low Risk"
72,"111.65","No","Low Risk"
72,"111.65","No","Low Risk"
72,"111.6","No","Low Risk"
72,"110.9","No","Low Risk"
72,"110.9","No","Low Risk"
72,"110.8","No","Low Risk"
72,"110.75","No","Low Risk"
72,"110.65","No","Low Risk"
72,"110.6","No","Low Risk"
72,"110.45","No","Low Risk"
72,"110.45","No","Low Risk"
72,"110.3","No","Low Risk"
72,"110.15","No","Low Risk"
72,"110.15","No","Low Risk"
72,"110.1","No","Low Risk"
72,"109.95","No","Low Risk"
72,"109.9","No","Low Risk"
72,"109.75","No","Low Risk"
72,"109.75","No","Low Risk"
72,"109.75","No","Low Risk"
72,"109.7","No","Low Risk"
72,"109.7","No","Low Risk"
72,"109.65","No","Low Risk"
72,"109.55","No","Low Risk"
72,"109.55","No","Low Risk"
72,"109.55","No","Low Risk"
72,"109.5","No","Low Risk"
72,"109.2","No","Low Risk"
72,"109.2","No","Low Risk"
72,"109.15","No","Low Risk"
72,"108.95","No","Low Risk"
72,"108.65","No","Low Risk"
72,"108.5","No","Low Risk"
72,"108.4","No","Low Risk"
72,"108.4","No","Low Risk"
72,"108.3","No","Low Risk"
72,"108.2","No","Low Risk"
72,"108.1","No","Low Risk"
72,"108.05","No","Low Risk"
72,"107.7","No","Low Risk"
72,"107.5","No","Low Risk"
72,"107.45","No","Low Risk"
72,"107.45","No","Low Risk"
72,"107.4","No","Low Risk"
72,"106.85","No","Low Risk"
72,"106.3","No","Low Risk"
72,"106.1","No","Low Risk"
72,"106.1","No","Low Risk"
72,"106.1","No","Low Risk"
72,"105.75","No","Low Risk"
72,"105.6","No","Low Risk"
72,"105.55","No","Low Risk"
72,"105.5","No","Low Risk"
72,"105.5","No","Low Risk"
72,"105.25","No","Low Risk"
72,"105","No","Low Risk"
72,"105","No","Low Risk"
72,"104.95","No","Low Risk"
72,"104.9","No","Low Risk"
72,"104.9","No","Low Risk"
72,"104.9","No","Low Risk"
72,"104.8","No","Low Risk"
72,"104.45","No","Low Risk"
72,"104.15","No","Low Risk"
72,"104.1","No","Low Risk"
72,"103.95","No","Low Risk"
72,"103.95","No","Low Risk"
72,"103.75","No","Low Risk"
72,"103.65","No","Low Risk"
72,"103.2","No","Low Risk"
72,"102.65","No","Low Risk"
72,"101.35","No","Low Risk"
72,"101.3","No","Low Risk"
72,"100.9","No","Low Risk"
72,"100.65","No","Low Risk"
72,"100.55","No","Low Risk"
72,"99.9","No","Low Risk"
72,"99.4","No","Low Risk"
72,"99.15","No","Low Risk"
72,"98.65","No","Low Risk"
72,"98.35","No","Low Risk"
72,"98.2","No","Low Risk"
72,"97.95","No","Low Risk"
72,"97.85","No","Low Risk"
72,"97.75","No","Low Risk"
72,"97.7","No","Low Risk"
72,"97.25","No","Low Risk"
72,"97","No","Low Risk"
72,"96.6","No","Low Risk"
72,"95.9","No","Low Risk"
72,"95.1","No","Low Risk"
72,"94.65","No","Low Risk"
72,"94.45","No","Low Risk"
72,"94.25","No","Low Risk"
72,"93.25","No","Low Risk"
72,"93.05","No","Low Risk"
72,"92.65","No","Low Risk"
72,"92.4","No","Low Risk"
72,"92.3","No","Low Risk"
72,"92","No","Low Risk"
72,"92","No","Low Risk"
72,"92","No","Low Risk"
72,"91.95","No","Low Risk"
72,"91.35","No","Low Risk"
72,"91.15","No","Low Risk"
72,"90.95","No","Low Risk"
72,"90.95","No","Low Risk"
72,"90.8","No","Low Risk"
72,"90.8","No","Low Risk"
72,"90.6","No","Low Risk"
72,"90.45","No","Low Risk"
72,"90.35","No","Low Risk"
72,"90.25","No","Low Risk"
72,"90.15","No","Low Risk"
72,"89.85","No","Low Risk"
72,"89.85","No","Low Risk"
72,"89.8","No","Low Risk"
72,"89.75","No","Low Risk"
72,"89.7","No","Low Risk"
72,"89.7","No","Low Risk"
72,"89.55","No","Low Risk"
72,"89.4","No","Low Risk"
72,"89.1","No","Low Risk"
72,"89.05","No","Low Risk"
72,"88.7","No","Low Risk"
72,"88.7","No","Low Risk"
72,"88.6","No","Low Risk"
72,"88.55","No","Low Risk"
72,"88.05","No","Low Risk"
72,"88.05","No","Low Risk"
72,"87.55","No","Low Risk"
72,"87.1","No","Low Risk"
72,"86.65","No","Low Risk"
72,"86.65","No","Low Risk"
72,"86.6","No","Low Risk"
72,"86.4","No","Low Risk"
72,"86.05","No","Low Risk"
72,"85.95","No","Low Risk"
72,"85.9","No","Low Risk"
72,"85.45","No","Low Risk"
72,"85.3","No","Low Risk"
72,"85.25","No","Low Risk"
72,"85.15","No","Low Risk"
72,"85.1","No","Low Risk"
72,"84.9","No","Low Risk"
72,"84.8","No","Low Risk"
72,"84.7","No","Low Risk"
72,"84.7","No","Low Risk"
72,"84.5","No","Low Risk"
72,"84.45","No","Low Risk"
72,"84.45","No","Low Risk"
72,"84.4","No","Low Risk"
72,"84.3","No","Low Risk"
72,"84.2","No","Low Risk"
72,"84.1","No","Low Risk"
72,"84.1","No","Low Risk"
72,"84.05","No","Low Risk"
72,"83.7","No","Low Risk"
72,"83.6","No","Low Risk"
72,"83.55","No","Low Risk"
72,"83.3","No","Low Risk"
72,"82.65","No","Low Risk"
72,"82.3","No","Low Risk"
72,"82.3","No","Low Risk"
72,"82.15","No","Low Risk"
72,"81","No","Low Risk"
72,"80.85","No","Low Risk"
72,"80.85","No","Low Risk"
72,"80.8","No","Low Risk"
72,"80.45","No","Low Risk"
72,"80.45","No","Low Risk"
72,"80.2","No","Low Risk"
72,"79.55","No","Low Risk"
72,"79.5","No","Low Risk"
72,"79.35","No","Low Risk"
72,"79.2","No","Low Risk"
72,"79.05","No","Low Risk"
72,"78.95","No","Low Risk"
72,"78.85","No","Low Risk"
72,"78.5","No","Low Risk"
72,"78.45","No","Low Risk"
72,"77.35","No","Low Risk"
72,"76.8","No","Low Risk"
72,"75.4","No","Low Risk"
72,"75.1","No","Low Risk"
72,"74.55","No","Low Risk"
72,"74.4","No","Low Risk"
72,"74.35","No","Low Risk"
72,"73.45","No","Low Risk"
72,"73","No","Low Risk"
72,"72.1","No","Low Risk"
72,"71.45","No","Low Risk"
72,"70.65","No","Low Risk"
72,"70.45","No","Low Risk"
72,"69.85","No","Low Risk"
72,"69.65","No","Low Risk"
72,"68.75","No","Low Risk"
72,"68.4","No","Low Risk"
72,"68.15","No","Low Risk"
72,"67.8","No","Low Risk"
72,"67.2","No","Low Risk"
72,"66.85","No","Low Risk"
72,"66.75","No","Low Risk"
72,"66.5","No","Low Risk"
72,"65.7","No","Low Risk"
72,"65.65","No","Low Risk"
72,"65.6","No","Low Risk"
72,"65.55","No","Low Risk"
72,"65.5","No","Low Risk"
72,"65.25","No","Low Risk"
72,"65.2","No","Low Risk"
72,"65.1","No","Low Risk"
72,"64.95","No","Low Risk"
72,"64.8","No","Low Risk"
72,"64.8","No","Low Risk"
72,"64.75","No","Low Risk"
72,"64.7","No","Low Risk"
72,"64.45","No","Low Risk"
72,"64.45","No","Low Risk"
72,"64.45","No","Low Risk"
72,"63.8","No","Low Risk"
72,"63.7","No","Low Risk"
72,"63.1","No","Low Risk"
72,"61.2","No","Low Risk"
72,"60.95","No","Low Risk"
72,"60","No","Low Risk"
72,"59.75","No","Low Risk"
72,"55.65","No","Low Risk"
72,"55.45","No","Low Risk"
72,"55.3","No","Low Risk"
72,"53.8","No","Low Risk"
72,"53.65","No","Low Risk"
72,"49.2","No","Low Risk"
72,"48.9","No","Low Risk"
72,"45.25","No","Low Risk"
72,"42.1","No","Low Risk"
72,"38.5","No","Low Risk"
72,"26.45","No","Low Risk"
72,"26.25","No","Low Risk"
72,"26.1","No","Low Risk"
72,"26","No","Low Risk"
72,"25.85","No","Low Risk"
72,"25.75","No","Low Risk"
72,"25.7","No","Low Risk"
72,"25.65","No","Low Risk"
72,"25.55","No","Low Risk"
72,"25.45","No","Low Risk"
72,"25.4","No","Low Risk"
72,"25.4","No","Low Risk"
72,"25.4","No","Low Risk"
72,"25.25","No","Low Risk"
72,"25.2","No","Low Risk"
72,"25.2","No","Low Risk"
72,"25.1","No","Low Risk"
72,"25.1","No","Low Risk"
72,"25.1","No","Low Risk"
72,"25","No","Low Risk"
72,"25","No","Low Risk"
72,"25","No","Low Risk"
72,"24.9","No","Low Risk"
72,"24.85","No","Low Risk"
72,"24.8","No","Low Risk"
72,"24.75","No","Low Risk"
72,"24.75","No","Low Risk"
72,"24.75","No","Low Risk"
72,"24.65","No","Low Risk"
72,"24.55","No","Low Risk"
72,"24.45","No","Low Risk"
72,"24.3","No","Low Risk"
72,"24.3","No","Low Risk"
72,"24.25","No","Low Risk"
72,"24.15","No","Low Risk"
72,"24.1","No","Low Risk"
72,"24.05","No","Low Risk"
72,"23.75","No","Low Risk"
72,"23.55","No","Low Risk"
72,"23.3","No","Low Risk"
72,"21.15","No","Low Risk"
72,"21","No","Low Risk"
72,"20.8","No","Low Risk"
72,"20.7","No","Low Risk"
72,"20.7","No","Low Risk"
72,"20.55","No","Low Risk"
72,"20.5","No","Low Risk"
72,"20.35","No","Low Risk"
72,"20.3","No","Low Risk"
72,"20.25","No","Low Risk"
72,"20.1","No","Low Risk"
72,"20.1","No","Low Risk"
72,"20.05","No","Low Risk"
72,"19.95","No","Low Risk"
72,"19.9","No","Low Risk"
72,"19.85","No","Low Risk"
72,"19.8","No","Low Risk"
72,"19.8","No","Low Risk"
72,"19.75","No","Low Risk"
72,"19.7","No","Low Risk"
72,"19.7","No","Low Risk"
72,"19.55","No","Low Risk"
72,"19.4","No","Low Risk"
72,"19.4","No","Low Risk"
72,"19.3","No","Low Risk"
72,"19.3","No","Low Risk"
71,"118.65","No","Low Risk"
71,"116.3","No","Low Risk"
71,"116.25","No","Low Risk"
71,"116.1","No","Low Risk"
71,"116.05","No","Low Risk"
71,"115.15","No","Low Risk"
71,"115.05","No","Low Risk"
71,"114.6","No","Low Risk"
71,"114","No","Low Risk"
71,"113.65","No","Low Risk"
71,"113.15","No","Low Risk"
71,"113.15","No","Low Risk"
71,"111.3","No","Low Risk"
71,"111.25","No","Low Risk"
71,"109.7","No","Low Risk"
71,"109.6","No","Low Risk"
71,"109.3","No","Low Risk"
71,"109.25","No","Low Risk"
71,"109","No","Low Risk"
71,"108.55","No","Low Risk"
71,"107.5","No","Low Risk"
71,"106.8","No","Low Risk"
71,"106.75","No","Low Risk"
